Student,PriorCourses,CourseGrade,PerceivedAbility,NumCategoriesAct5,NumExplanationsAct5,ClusterAct5,wordsAct5,RubricAct5,NumCategoriesAct11,NumExplanationsAct11,ClusterAct11,wordsAct11,RubricAct11,Midterm1,Midterm2,GroupGrade,GroupMid1,GroupMid2,GroupAct5,GroupAct11,GroupAbility
S2,0,947.25,1,18,18,3,315,9,27,27,1,301,11,81,88,2,2,2,3,1,1
S16,1,881,1.5,20,15,3,338,9,17,11,3,322,7,64,77,1,2,1,3,1,1
S25,0,NA,1.5,15,14,1,259,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1
S20,0,875.15,2,11,11,4,133,7,23,20,1,201,8,53,71,1,1,1,2,1,1
S21,0,842.55,2,11,11,3,111,9,20,18,2,129,13,28,81,1,1,1,3,2,1
S10,0,929.66667,2,10,9,4,124,10,16,15,1,158,15,73,98,2,2,3,3,3,1
S14,0,928,2,14,14,3,191,8,NA,NA,NA,NA,NA,53,92,2,1,2,3,NA,1
S18,0,942.25,3,15,15,2,170,7,31,31,1,196,12,86,98,2,2,3,2,2,2
S8,0,835,3,17,16,2,192,10,23,23,1,259,13,74,98,1,2,3,3,2,2
S5,1,930,3,19,17,4,301,9,26,19,3,201,15,58,85,2,1,1,3,3,2
S13,0,933.8,3,17,17,2,167,3,NA,NA,NA,NA,NA,102,96,2,3,3,1,NA,2
S7,1,949,3,11,11,1,94,7,NA,NA,NA,NA,NA,101,96,2,3,3,2,NA,2
S12,1,902.25,3,20,20,2,271,8,19,17,1,102,NA,80,94,2,2,2,3,NA,2
S17,1,1002.65,3.5,18,18,1,164,10,22,22,1,176,14,94,94,3,3,3,3,3,2
S4,1,956.75,4,9,9,1,56,7,18,17,1,61,11,103,100,3,3,3,2,1,3
S3,2,961.75,4,9,9,1,69,8,15,15,2,106,11,105,100,3,3,3,3,1,3
S1,0,753.8,4,13,13,1,142,10,NA,NA,NA,NA,NA,104,100,1,3,3,3,NA,3
S11,1,890,5,12,12,2,127,7,28,28,1,288,15,95,99,1,3,3,2,3,3
S23,2,908.25,5,15,15,1,154,4,NA,NA,NA,NA,NA,105,98,2,3,3,1,NA,3
S9,0,989,5,20,15,2,177,8,NA,NA,NA,NA,NA,102,100,3,3,3,3,NA,3
S22,0,921.25,NA,11,10,1,127,8,21,21,1,141,10,95,97,2,3,3,3,1,NA
S24,0,985.25,NA,14,10,1,91,9,16,16,1,85,12,101,96,3,3,3,3,2,NA
S15,0,859,NA,15,14,1,177,7,16,15,4,220,13,47,80,1,1,1,2,2,NA
S26,0,687.66667,NA,7,7,5,79,7,NA,NA,NA,NA,NA,49,65,1,1,1,2,NA,NA
S19,0,961.9,NA,18,16,2,271,10,NA,NA,NA,NA,NA,88,88,3,2,2,3,NA,NA
S27,,,,,,,,,,,,,,,,,,,,,
