Student,PriorCourses,PerceivedAbility,NumCategoriesMod1,NumExplanationsMod1,ClusterMod1,wordsMod1,Pretest1,Posttest1,Gain1,NumCategoriesMod2,NumExplanationsMod2,ClusterMod2,wordsMod2,Pretest2,Posttest2,Gain2,GroupPre2,GroupGain2,NumCategoriesMod3,NumExplanationsMod3,ClusterMod3,wordsMod3,Pretest3,Posttest3,Gain3,MentalEffort,GroupMental,GroupPre3,GroupGain3,GroupAbility
TS1,1,3,16,14,4,82,5,2,-3,14,14,4,113,4,3,-1,2,1,19,16,4,81,0,3,3,3,1,1,3,3
TS37,3,1.5,15,15,2,131,2,3,1,15,14,1,108,5,4,-1,3,1,15,13,4,40,4,5,1,7,3,3,2,1
TS10,0,2,11,11,1,110,5,5,0,22,18,3,148,5,4,-1,3,1,22,16,2,196,4,5,1,7,3,3,2,2
TS11,1,2,NA,NA,NA,NA,NA,NA,NA,11,11,1,NA,5,4,-1,3,1,19,18,2,NA,1,3,2,7,3,1,2,2
TS27,2,2.5,12,12,4,23,4,4,0,7,6,1,44,5,4,-1,3,1,12,11,4,49,4,4,0,6,3,3,1,2
TS38,1,3,11,11,3,70,5,5,0,14,12,4,61,5,4,-1,3,1,14,12,2,75,4,4,0,4,2,3,1,3
TS24,2,3,13,13,3,132,0,5,5,25,22,1,239,5,4,-1,3,1,31,31,2,313,5,5,0,8,4,3,1,3
TS44,1,2,11,9,1,83,2,5,3,13,10,3,101,3,3,0,2,2,20,18,2,234,3,5,2,6,3,2,2,2
TS33,3,2.5,17,17,4,126,3,5,2,12,12,5,82,4,4,0,2,2,17,17,2,98,4,4,0,8,4,3,1,2
TS34,2,3,20,19,2,215,5,5,0,14,13,4,104,4,4,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
TS21,1,0.5,15,15,3,122,2,5,3,19,15,2,109,5,5,0,3,2,11,7,3,71,2,5,3,7,3,1,3,1
TS8,2,3,11,10,1,107,5,5,0,13,9,3,135,5,5,0,3,2,30,22,2,281,4,5,1,7,3,3,2,3
TS7,1,3,26,26,2,237,5,5,0,19,15,1,141,5,5,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
TS42,1,3.5,13,13,3,124,0,5,5,18,15,1,155,5,5,0,3,2,18,16,2,131,4,4,0,3,1,3,1,3
TS6,0,0.5,15,15,4,61,5,5,0,24,20,2,183,2,3,1,1,3,35,35,2,203,3,4,1,6,3,2,2,1
TS17,1,1.5,10,9,3,111,5,5,0,7,4,5,28,2,3,1,1,3,17,14,2,71,5,5,0,8,4,3,1,1
TS43,1,1.5,NA,NA,NA,NA,NA,NA,NA,7,5,3,NA,3,4,1,2,3,9,8,4,NA,3,3,0,7,3,2,1,1
TS16,1,2,16,15,2,178,5,5,0,15,7,3,75,3,4,1,2,3,16,14,2,120,3,5,2,8,4,2,2,2
TS19,1,2.5,14,14,2,177,0,5,5,14,11,1,92,3,4,1,2,3,30,28,2,219,0,4,4,6,3,1,3,2
TS31,3,3.5,11,9,1,144,5,5,0,18,12,2,122,3,4,1,2,3,18,18,2,107,3,5,2,1,1,2,2,3
TS25,1,3,14,13,3,131,2,4,2,16,14,4,71,4,5,1,2,3,14,14,2,77,5,5,0,5,2,3,1,3
TS35,2,4,22,22,4,188,5,5,0,21,21,4,110,4,5,1,2,3,34,34,2,106,5,5,0,5,2,3,1,3
TS40,NA,1.5,11,11,3,115,5,5,0,15,11,3,93,2,4,2,1,3,20,18,2,129,5,5,0,4,2,3,1,1
TS13,3,1.5,11,11,1,109,0,0,0,8,8,1,45,2,4,2,1,3,11,11,4,54,4,5,1,4,2,3,2,1
TS23,2,3,12,12,1,78,NA,4,NA,9,8,4,47,2,4,2,1,3,23,22,2,135,NA,5,NA,5,2,NA,NA,3
TS39,NA,3,14,14,3,61,5,5,0,11,11,4,61,2,4,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
TS4,1,3,7,7,1,74,3,4,1,10,8,5,33,2,4,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
TS28,NA,3,12,11,1,179,5,5,0,16,10,3,202,0,3,3,1,3,21,18,2,221,5,5,0,7,3,3,1,3
TS9,1,4,26,26,2,204,4,5,1,13,12,5,65,2,5,3,1,3,15,12,4,61,0,4,4,1,1,1,3,3
TS14,0,3,10,10,1,108,1,2,1,11,11,4,107,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
TS22,2,2.5,13,13,1,95,5,5,0,18,16,1,136,2,NA,NA,1,NA,3,2,3,15,5,3,-2,5,2,3,1,2
TS45,NA,1,11,11,1,134,2,5,3,16,14,2,121,5,NA,NA,3,NA,17,16,2,127,2,5,3,8,4,1,3,1
TS3,0,2.5,16,15,2,115,5,5,0,19,18,4,177,5,NA,NA,3,NA,17,17,3,160,4,5,1,NA,NA,3,2,2
TS15,2,1,18,18,2,137,5,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
TS5,1,1.5,9,8,1,69,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,15,4,144,4,4,0,7,3,3,1,1
TS29,2,1.5,18,15,4,79,4,0,-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
TS30,1,2.5,9,9,3,110,4,5,1,20,19,4,121,NA,3,NA,NA,NA,23,21,2,182,5,0,-5,3,1,3,1,2
TS12,0,2.5,10,10,1,81,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
TS18,2,2.5,12,12,3,64,5,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
