S2,S3,S4,S5,S8,S10,S11,S12,S15,S16,S17,S18,S20,S21,S22,S24
PAR,COA,DAT,PHR,PAR,GOA,GOA,COA,SIM,SIM,GOA,GOA,GOA,PAR,GOA,GOA
COA,VAR,PAR,PAR,PRO,LIM,CON,GOA,RAG,INC,DAT,DAT,RAG,HOW,CON,DAT
DAT,PRO,COA,PRO,DAT,VAR,WHY,CON,PRO,DAT,PRO,PAR,PAR,PRO,DAT,PAR
VAR,COA,DAT,VAR,COA,PRO,DAT,VAR,COA,INC,VAR,VAR,DAT,VAR,VAR,VAR
PRO,DAT,RAG,PHR,DAT,VAR,INS,PRO,DAT,COA,PRO,PRO,PRO,COA,PAR,PRO
GOA,PAR,COA,PAR,PRO,DAT,VAR,COA,PAR,HOW,RAG,CON,COD,COA,PRO,COA
CON,WHY,DAT,VAR,RAG,PAR,PRO,DAT,WHY,DAT,WHY,COA,INC,DAT,COA,VAR
VAR,CON,RAG,PHR,COA,CON,VAR,VAR,CON,COD,COA,VAR,VAR,PAR,VAR,PRO
PRO,INS,PRO,VAR,DAT,WHY,PRO,COA,COA,CON,DAT,PRO,DAT,CON,PRO,COA
RAG,COA,COA,DAT,WHY,VAR,WHY,DAT,VAR,COD,PAR,COA,RAG,COA,COA,DAT
COA,BGK,WHY,PHR,VAR,PRO,COA,PAR,HOW,VAR,INS,DAT,DAT,VAR,DAT,PAR
DAT,HOW,INC,INC,RAG,VAR,VAR,INC,DAT,BGK,WHY,RAG,WHY,HOW,PAR,RAG
VAR,CON,COA,CON,COA,PRO,WHY,COD,RAG,DAT,RAG,PRO,PRO,DAT,PRO,COA
RAG,COA,PRO,WHY,CON,BGK,DAT,COA,PRO,CON,COA,CHK,VAR,RAG,CHK,CON
COA,PRO,CON,VAR,HOW,CON,PRO,PRO,COA,PRO,PRO,RAG,COD,BGK,COA,VAR
BGK,,COA,DAT,VAR,COA,RAG,CON,CON,COA,COA,COA,WHY,COD,WHY,PRO
RAG,,PRO,COD,DAT,,CON,COA,,INC,PRO,CON,RAG,CON,COA,
PRO,,DAT,BGK,COA,,WHY,PRO,,,DAT,COA,PRO,COA,PRO,
DAT,,,COD,BGK,,COA,DAT,,,DAT,PRO,VAR,INC,DAT,
COA,,,PRO,RAG,,VAR,,,,CON,DAT,DAT,COA,CON,
CHK,,,COA,CON,,HOW,,,,PRO,WHY,CON,,COA,
COA,,,CON,PRO,,DAT,,,,COA,BGK,VAR,,,
WHY,,,DAT,COA,,PRO,,,,,COA,PRO,,,
RAG,,,COA,,,PRO,,,,,VAR,,,,
PRO,,,PAR,,,COA,,,,,PRO,,,,
CON,,,PRO,,,CON,,,,,DAT,,,,
COA,,,,,,HOW,,,,,COA,,,,
,,,,,,VAR,,,,,PRO,,,,
,,,,,,,,,,,CON,,,,
,,,,,,,,,,,RAG,,,,
,,,,,,,,,,,DAT,,,,
