S15,S19,S14,S1,S3,S7,S8,S11,S18,S25,S5,S12,S2,S16,S10,S17,S20,S22,S24,S9,S21,S23,S4,S26,S13,S27
COA,COA,COA,COA,COA,COA,COA,COA,COA,COA,COA,COA,COA,COD,GOA,GOA,GOA,GOA,OWN,OWN,PAR,PAR,COA,COA,COA,VAR
COA,EXE,GOA,PAR,PAR,PAR,PAR,PAR,PAR,PAR,PAR,PAR,WHY,COA,COA,PAR,PAR,PAR,COA,COA,COA,COA,VAR,VAR,EXE,COA
WHY,WHY,PAR,COA,VAR,COA,RAG,COA,COA,GOA,GOA,GOA,PAR,PAR,EXE,COA,COA,COA,GOA,PAR,VAR,VAR,CON,RAG,VAR,COA
VAR,COD,RAG,VAR,COA,VAR,VAR,EXE,VAR,COA,EXE,RAG,COA,WHY,VAR,VAR,VAR,VAR,PAR,OWN,WHY,WHY,COA,VAR,CON,CON
RAG,COA,COA,COA,COA,CON,WHY,VAR,WHY,VAR,COA,COA,RAG,COD,COD,RAG,EXE,CON,OWN,EXE,CON,RAG,EXE,CHK,BGK,VAR
COD,VAR,WHY,CON,CON,COA,EXE,COA,COA,WHY,VAR,WHY,VAR,COA,CON,CON,COA,COA,COA,COA,COA,CON,COA,CON,CON,
CON,RAG,VAR,RAG,EXE,CHK,COD,CON,CON,RAG,WHY,VAR,WHY,WHY,CON,WHY,CON,EXE,VAR,VAR,EXE,CON,MON,COA,BGK,
CHK,COD,RAG,CHK,COA,EXE,RAG,EXE,EXE,PRO,CON,EXE,COA,VAR,VAR,MON,EXE,CON,OWN,WHY,VAR,COA,VAR,,COA,
COA,CON,RAG,EXE,VAR,COA,CON,COA,COA,COD,COD,RAG,CON,SIM,CON,COA,VAR,COA,CON,OWN,RAG,VAR,CON,,EXE,
PRO,COA,EXE,COA,,VAR,CHK,VAR,VAR,COA,COA,CON,CHK,CON,PRO,CON,COA,VAR,CHK,CON,COA,EXE,,,VAR,
EXE,DAT,CHK,RAG,,COA,GOA,EXE,CON,CHK,CHK,COA,PRO,COD,,EXE,EXE,INC,EXE,COA,EXE,MON,,,DAT,
COA,HOW,VAR,CON,,,EXE,CON,EXE,CON,EXE,CHK,EXE,CHK,,MON,,,OWN,CHK,,WHY,,,COA,
CON,VAR,RAG,COA,,,COA,,COA,COA,DAT,EXE,DAT,COA,,WHY,,,CON,OWN,,CON,,,EXE,
CHK,EXE,COA,,,,RAG,,CON,CON,VAR,COA,COA,EXE,,CON,,,COA,COA,,EXE,,,COA,
COA,CON,,,,,MON,,PAR,EXE,COA,CON,HOW,DAT,,COA,,,,VAR,,COA,,,CON,
,PRO,,,,,VAR,,,,EXE,VAR,INS,COA,,RAG,,,,EXE,,,,,VAR,
,WHY,,,,,EXE,,,,COD,EXE,RAG,HOW,,CON,,,,OWN,,,,,PAR,
,MON,,,,,,,,,COA,CHK,PRO,COD,,PAR,,,,CON,,,,,,
,,,,,,,,,,CON,COA,,VAR,,,,,,PAR,,,,,,
,,,,,,,,,,,PAR,,RAG,,,,,,PRO,,,,,,
