TS44,TS16,TS10,TS31,TS15,TS32,TS38,TS24,TS39,TS18,TS4,TS1,TS9,TS5,TS29,TS28,TS40,TS46,TS33,TS20,TS42,TS3,TS25,TS2,TS6,TS27,TS36,TS45,TS23,TS14,TS17,TS12,TS41,TS7,TS19,TS30,TS34,TS21,TS35,TS37,TS13,TS8,TS22
COA,COA,COA,COA,COA,COA,COA,COA,COA,COA,COA,COA,COA,COA,COA,COA,COA,COA,COA,COA,COA,COA,COA,COA,COA,COA,COA,COA,COA,COA,COA,RAG,COA,COA,COA,COA,COA,COA,COA,COA,VAR,COA,COA
COA,LIM,COA,LIM,BGK,RAG,COA,COA,BGK,CHK,COA,LIM,RAG,INC,CHK,DAT,DAT,INC,COA,RAG,VAR,CHK,INC,COA,COA,CHK,RAG,BGK,COA,COA,LIM,COA,INC,RAG,COA,COA,RAG,DAT,RAG,VAR,BGK,DAT,VAR
INC,COA,PAR,COA,CHK,CHK,GOA,PRO,VAR,COA,PRO,COA,INS,COA,COA,COA,COA,COA,VAR,COA,COA,DAT,COA,COA,CHK,COA,COA,VAR,BGK,COA,COA,DAT,COA,COA,DAT,PAR,COA,COA,COA,BGK,DAT,PHR,BGK
COA,DAT,VAR,INC,COA,COA,PRO,GOA,COA,PRO,COA,CHK,COA,COA,PRO,EXE,PAR,COA,CHK,VAR,GOA,COA,EXE,PAR,DAT,PRO,CHK,COA,VAR,PRO,COA,COA,COA,DAT,COA,COA,DAT,GOA,CHK,COA,COA,COA,COA
PAR,COA,COA,COA,PAR,PRO,COA,COA,COA,GOA,PAR,COA,CHK,COA,COD,COA,COA,COA,BGK,BGK,COA,COD,COA,COA,COA,COA,DAT,BGK,COA,COA,PAR,COA,GOA,VAR,PAR,PAR,VAR,PRO,BGK,GOA,BGK,COA,BGK
VAR,EXE,PAR,COA,EXE,COA,PAR,PAR,PAR,COA,COA,PRO,RAG,PAR,GOA,PAR,PAR,PAR,COA,DAT,PAR,EXE,PAR,PAR,PRO,CHK,COA,COA,BGK,PAR,COA,PAR,PRO,BGK,COA,COA,BGK,COA,RAG,PRO,COA,PAR,COA
COA,PRO,COA,PAR,VAR,PAR,COA,COA,VAR,PAR,COA,GOA,DAT,COA,RAG,VAR,COA,COA,PAR,COA,COA,COA,COA,COA,GOA,BGK,PAR,PAR,COA,COA,PAR,COA,COA,COA,PAR,CON,COA,PAR,PRO,COA,PAR,COA,PAR
PAR,COA,PAR,COA,COA,CHK,PAR,PAR,COA,COA,,COA,COA,PAR,CHK,COA,PAR,PAR,VAR,EXE,PAR,PAR,BGK,PAR,COA,COA,COA,COA,PAR,PAR,COA,PAR,PAR,BGK,EXE,PRO,COD,VAR,DAT,PAR,COA,PAR,VAR
VAR,PAR,COA,PAR,PAR,COA,COA,COA,PAR,PAR,,PAR,PRO,COA,COA,PAR,COA,COA,COA,COA,COA,EXE,PAR,,PAR,BGK,PAR,PAR,COA,COA,CON,COA,COA,PAR,COA,PAR,EXE,COA,COA,EXE,PAR,COA,COA
PHR,EXE,PAR,COA,VAR,PAR,CON,CON,VAR,COA,,INC,GOA,,INC,VAR,CON,VAR,PAR,PAR,RAG,COA,COA,,CHK,COA,CHK,COA,PAR,PAR,PRO,PAR,PAR,EXE,PAR,,PAR,PAR,GOA,COA,COA,PAR,PAR
COA,COA,EXE,PAR,EXE,COA,PRO,PRO,COA,PRO,,COA,RAG,,CHK,PHR,PRO,,CHK,EXE,CON,PAR,CON,,COA,CON,COA,PAR,COA,,,,COA,VAR,EXE,,COA,VAR,PRO,PAR,PAR,EXE,VAR
,PAR,,,COA,PAR,,PAR,CON,CON,,PAR,EXE,,COA,COA,,,COA,COA,PRO,EXE,BGK,,PAR,PRO,PAR,,PAR,,,,CON,COA,COA,,PAR,COA,COA,EXE,,,COA
,EXE,,,PAR,,,EXE,PRO,,,CHK,COA,,INC,,,,PAR,PAR,PAR,COA,PRO,,CHK,,CHK,,,,,,PRO,PAR,PAR,,EXE,RAG,PAR,COA,,,PAR
,COA,,,VAR,,,,PAR,,,COA,PAR,,CHK,,,,CHK,EXE,,VAR,PAR,,COA,,COA,,,,,,PAR,DAT,EXE,,COA,PRO,MON,PAR,,,
,PAR,,,EXE,,,,,,,CON,CHK,,COA,,,,COA,COA,,PAR,,,PAR,,PAR,,,,,,,EXE,,,PAR,PAR,CHK,EXE,,,
,EXE,,,COA,,,,,,,PRO,EXE,,CON,,,,CON,RAG,,EXE,,,,,,,,,,,,VAR,,,EXE,,COA,,,,
,,,,CON,,,,,,,,RAG,,PRO,,,,PRO,BGK,,,,,,,,,,,,,,COA,,,COA,,PAR,,,,
,,,,PRO,,,,,,,,HOW,,RAG,,,,,,,,,,,,,,,,,,,PAR,,,CON,,CHK,,,,
,,,,,,,,,,,,COA,,,,,,,,,,,,,,,,,,,,,DAT,,,PRO,,COA,,,,
,,,,,,,,,,,,HOW,,,,,,,,,,,,,,,,,,,,,EXE,,,PAR,,PRO,,,,
,,,,,,,,,,,,RAG,,,,,,,,,,,,,,,,,,,,,VAR,,,,,WHY,,,,
,,,,,,,,,,,,BGK,,,,,,,,,,,,,,,,,,,,,COA,,,,,CON,,,,
,,,,,,,,,,,,CON,,,,,,,,,,,,,,,,,,,,,DAT,,,,,,,,,
,,,,,,,,,,,,CHK,,,,,,,,,,,,,,,,,,,,,EXE,,,,,,,,,
,,,,,,,,,,,,PAR,,,,,,,,,,,,,,,,,,,,,PAR,,,,,,,,,
,,,,,,,,,,,,PRO,,,,,,,,,,,,,,,,,,,,,VAR,,,,,,,,,
