TS42,TS6,TS43,TS22,TS10,TS44,TS36,TS41,TS30,TS8,TS34,TS4,TS40,TS38,TS19,TS21,TS23,TS27,TS28,TS9,TS17,TS11,TS39,TS14,TS45,TS16,TS24,TS13,TS33,TS37,TS1,TS31,TS25,TS3,TS35,TS7
COA,COA,COA,COA,COA,COA,COA,COA,COA,PHR,COA,COA,PHR,COA,COA,COA,PHR,COA,PHR,COA,PHR,COA,COA,COA,COA,PHR,COA,COA,COA,COA,COA,PHR,COA,COA,COA,COA
BGK,PHR,PAR,VAR,PHR,INC,RAG,CHK,RAG,COA,CHK,CHK,COA,RAG,RAG,INC,COA,VAR,COA,CHK,COA,RAG,VAR,VAR,PHR,COD,RAG,PRO,CHK,BGK,CHK,COA,CHK,CHK,CHK,VAR
VAR,VAR,COA,COA,COA,COA,PRO,INC,EXE,LIM,COA,COA,PAR,VAR,COA,COA,COA,COA,PAR,RAG,LIM,COA,COA,COA,FG,PHR,PRO,VAR,COA,COA,RAG,PAR,COA,COA,COA,BGK
PRO,COA,LIM,LIM,PAR,PAR,COA,COA,PRO,COA,LIM,PAR,COA,COA,PAR,PAR,COA,LIM,COA,VAR,PHR,COA,COA,COA,INC,LIM,COA,COA,PAR,VAR,COA,LIM,LIM,COA,RAG,COA
RAG,PAR,PHR,COA,COA,COA,PAR,PAR,COA,PAR,COA,LIM,PHR,LIM,LIM,LIM,PRO,COA,PAR,COA,COA,COA,PRO,RAG,COA,COA,PAR,PRO,COA,COA,EXE,COA,GOA,EXE,COA,PAR
COA,LIM,COA,INC,PAR,PAR,RAG,RAG,PAR,COA,BGK,COA,COA,COA,COA,COA,COA,PRO,PHR,RAG,CHK,VAR,HOW,COA,COA,PAR,LIM,PAR,BGK,PAR,COA,INC,EXE,COD,PAR,COD
PAR,COA,COA,COA,VAR,COA,COA,COA,LIM,PHR,PRO,PHR,PAR,COA,COA,PHR,CHK,COA,COA,COA,RAG,EXE,COA,COA,BGK,PHR,EXE,COA,CON,RAG,PRO,COA,COA,HOW,COA,COA
LIM,PAR,,PAR,COA,LIM,COA,PAR,COA,COA,PAR,PRO,CON,HOW,PAR,COA,RAG,,DAT,PAR,,PAR,COA,PAR,PRO,COA,COA,PAR,PRO,PRO,VAR,CON,COA,VAR,PRO,COA
COA,COA,,CON,VAR,COA,PRO,COA,VAR,LIM,CHK,RAG,PHR,COD,COD,DAT,EXE,,CON,COD,,RAG,PRO,CON,CON,LIM,PAR,,PAR,CHK,BGK,BGK,RAG,PAR,HOW,HOW
COA,HOW,,BGK,PAR,PAR,BGK,PAR,HOW,COA,COA,CHK,COA,COA,COA,PAR,,,PHR,BGK,,COA,VAR,EXE,PAR,PHR,COA,,CHK,COA,COA,PRO,PRO,BGK,BGK,PHR
INC,RAG,,VAR,CON,CON,PAR,CON,DAT,PAR,PAR,,LIM,COA,PHR,CON,,,COA,PAR,,CHK,EXE,VAR,CHK,COA,BGK,,RAG,LIM,CHK,COA,COA,RAG,RAG,CON
RAG,PRO,,PRO,PHR,COA,COA,PRO,CON,CON,PRO,,COA,CHK,COA,PRO,,,PHR,CHK,,,,,RAG,LIM,PRO,,PRO,COA,PRO,INC,LIM,COA,COA,COA
COA,PAR,,CON,VAR,INC,CHK,BGK,PAR,COA,EXE,,PAR,RAG,PAR,CHK,,,COA,RAG,,,,,COA,VAR,CON,,,PAR,EXE,COA,COA,CHK,RAG,COD
LIM,RAG,,VAR,COA,,RAG,COA,RAG,,INS,,EXE,COA,EXE,RAG,,,PHR,,,,,,LIMR,PAR,DAT,,,COA,VAR,LIM,CHK,PAR,COA,COA
RAG,INC,,RAG,LIM,,EXE,CON,PRO,,,,COA,,,COA,,,COA,,,,,,COA,COA,RAG,,,EXE,,COA,RAG,EXE,CHK,PHR
EXE,COA,,COA,COA,,,PHR,COA,,,,,,,LIM,,,PHR,,,,,,PRO,,CHK,,,,,PAR,EXE,RAG,PAR,COA
COA,EXE,,PAR,PAR,,,COA,CHK,,,,,,,COA,,,,,,,,,VAR,,RAG,,,,,EXE,,COA,PRO,PAR
EXE,INC,,COA,PHR,,,LIM,RAG,,,,,,,VAR,,,,,,,,,EXE,,COD,,,,,INC,,EXE,EXE,COA
,COA,,,COA,,,COA,EXE,,,,,,,EXE,,,,,,,,,,,COA,,,,,,,INS,RAG,PAR
,EXE,,,CON,,,EXE,COA,,,,,,,,,,,,,,,,,,RAG,,,,,,,,COA,
,CON,,,CHK,,,PAR,,,,,,,,,,,,,,,,,,,COA,,,,,,,,CON,
,PAR,,,EXE,,,COA,,,,,,,,,,,,,,,,,,,RAG,,,,,,,,,
,COA,,,,,,INC,,,,,,,,,,,,,,,,,,,PAR,,,,,,,,,
,PAR,,,,,,,,,,,,,,,,,,,,,,,,,COA,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,INC,,,,,,,,,
